"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum","dscrgrp","ctzcntr","brncntr","feethngr","pbldmna","volunfp","mbtru","emplrel","impcntr","hincfel","polintr","aesfdrk","gincdif","freehms","vteurmmb","lrnobed","domicil","loylead","wprtbym","actrolga"
1945,66,66,88,3,3,3,3,5,3,3,0,0,5,6,3,0,6,8,0,0,88,88,0,10,88,0,4,0,3,4,3,3,3,3,4,3,3,3,3,3,3,3,2,1,1,1,2,2,3,2,4,2,3,2,1,4,55,2,3,3,1,2
1964,66,66,88,4,2,4,1,4,3,88,0,0,7,8,8,0,0,0,0,0,0,88,88,5,0,88,4,0,1,4,88,2,4,2,5,3,3,3,3,1,4,88,2,1,1,8,2,2,3,6,8,7,4,8,1,8,2,8,3,3,2,1
1999,77,77,3,3,3,3,3,3,3,3,2,3,5,6,6,7,7,7,4,6,7,77,10,10,8,10,9,5,3,3,77,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,2,1,1,6,2,7,2,2,1,1,1,2,3,3,3,2
1985,3,66,3,4,1,3,1,4,2,2,2,0,4,6,6,3,9,9,1,8,7,5,6,10,10,8,9,5,2,4,3,2,3,2,4,2,3,2,2,3,3,4,2,1,1,1,2,2,3,1,3,3,3,3,2,3,1,1,1,3,3,2
1973,77,77,3,3,3,3,3,3,3,3,0,3,6,6,6,7,4,5,3,4,4,5,88,10,8,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,2,1,7,1,2,7,2,2,1,1,88,3,3,3,1,3
2008,66,66,2,2,2,2,3,3,88,3,1,4,4,8,8,2,2,3,2,2,1,88,88,2,2,2,4,1,3,3,3,3,3,3,4,3,3,3,3,3,3,2,8,1,1,1,2,2,3,6,3,3,3,2,3,3,65,3,4,3,3,2
1969,2,2,2,3,2,2,1,1,2,3,0,4,4,6,6,6,7,8,4,4,5,3,5,7,7,6,9,6,3,1,1,2,1,2,4,2,2,2,2,2,3,3,2,1,1,1,2,2,3,1,3,1,2,2,4,2,1,2,1,3,2,4
1946,77,66,2,2,1,2,2,3,4,2,3,4,3,4,3,7,6,7,2,1,1,5,3,2,1,5,2,3,2,3,2,2,3,2,2,3,3,2,2,3,3,4,2,1,1,2,2,2,3,1,3,2,3,2,3,3,2,3,4,2,3,2
2005,66,66,88,3,3,3,2,88,2,2,4,5,5,6,6,5,5,8,0,5,4,88,8,9,7,3,4,2,2,3,2,1,2,2,2,88,1,2,1,2,2,3,2,1,1,1,2,2,3,6,1,2,4,2,3,1,1,1,5,1,8,1
1957,88,66,2,6,6,5,1,3,3,3,0,0,6,6,6,3,5,10,0,88,88,88,10,8,5,10,9,0,1,6,1,1,5,1,6,3,4,1,1,1,5,2,2,1,1,1,2,2,3,6,3,3,4,3,3,2,1,2,4,3,2,1
1959,66,66,1,4,3,3,2,3,3,3,0,1,3,1,1,4,2,3,0,0,0,5,2,5,0,0,4,1,3,4,3,3,3,3,4,3,3,3,3,3,4,1,2,1,1,1,2,2,3,1,2,3,3,2,1,2,2,3,3,3,3,2
2006,66,66,3,3,3,3,3,3,4,3,2,5,5,6,6,3,6,6,4,6,7,88,88,10,10,7,4,6,4,3,3,3,2,2,3,2,1,1,2,3,1,88,2,1,1,1,2,2,3,6,2,1,3,2,2,1,65,3,3,3,1,2
1940,66,66,1,6,2,3,1,3,2,2,0,0,6,6,6,4,5,6,5,5,6,8,5,9,8,5,2,5,2,6,1,3,2,2,6,1,3,2,2,2,6,3,2,1,1,1,2,2,3,6,1,7,3,2,2,2,1,2,4,3,2,1
1951,5,5,4,4,1,4,4,4,1,1,0,0,3,6,4,1,0,10,0,7,6,10,5,8,8,6,2,0,1,6,6,2,4,4,6,1,1,1,1,1,6,3,2,1,1,1,2,2,3,1,3,4,3,2,2,3,1,1,4,3,1,1
1949,1,1,1,5,1,1,1,2,1,1,3,5,6,6,6,7,8,10,7,6,6,8,4,10,7,10,9,7,1,2,1,2,1,1,2,1,1,1,2,2,2,4,2,1,1,1,2,2,3,1,3,1,2,1,3,2,1,1,3,1,1,4
1981,5,66,3,3,3,3,2,3,3,3,3,3,5,4,3,7,5,6,2,1,1,8,3,8,2,4,9,4,3,4,3,2,2,2,4,4,1,1,2,2,3,4,2,1,1,1,2,2,1,1,2,2,3,2,1,2,88,2,3,3,3,3
1974,66,66,1,1,1,1,2,2,2,1,5,6,6,6,6,1,4,5,1,5,6,6,4,10,8,3,9,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,3,1,2,2,4,2,2,2,1,2,3,4,2,2
1998,77,66,2,2,88,88,3,3,3,3,2,2,2,8,8,6,1,2,5,2,2,77,1,2,2,2,7,1,3,3,3,3,3,3,3,88,88,2,2,2,2,2,2,1,1,1,2,2,8,1,3,3,3,2,3,2,88,8,4,3,3,2
1959,77,66,2,2,2,2,2,2,1,2,3,4,4,6,6,7,5,6,2,5,5,5,10,9,7,8,9,4,4,3,2,2,2,2,3,3,3,2,3,3,3,3,8,2,1,1,2,2,1,1,3,2,4,2,2,2,1,2,4,4,3,2
1953,77,77,2,3,3,4,2,2,4,4,4,5,5,5,5,6,8,8,4,1,3,5,1,9,5,2,4,5,3,3,3,3,4,4,4,4,2,2,2,2,4,2,2,1,1,1,2,2,3,2,2,3,2,3,2,2,33,3,3,2,3,2
1948,5,66,1,5,1,4,1,3,1,3,0,1,5,5,4,5,7,9,1,2,1,5,4,8,6,7,4,3,3,4,2,2,4,2,6,1,2,2,3,1,3,3,2,1,1,1,2,2,3,3,3,2,3,2,2,2,2,2,4,4,4,2
1959,2,2,3,5,1,5,4,4,5,4,4,4,5,5,5,5,8,8,7,8,8,2,8,9,8,8,4,3,3,3,3,3,3,3,3,3,2,2,1,1,3,4,2,1,1,1,1,2,3,1,1,2,2,2,1,1,1,2,1,2,2,3
1960,3,66,1,4,1,3,1,4,2,2,2,3,4,5,5,6,8,9,3,5,8,88,6,10,7,5,8,4,3,3,1,1,2,1,4,3,3,1,1,2,3,4,2,1,1,1,2,1,3,1,2,2,2,2,2,2,1,3,4,5,2,3
1965,3,66,2,3,1,4,1,1,1,1,2,3,5,6,6,6,3,6,3,4,3,88,3,8,7,5,9,4,1,1,1,1,1,1,2,3,2,1,1,1,3,3,2,1,1,1,2,2,3,2,2,2,3,2,1,1,44,2,3,4,2,1
1987,3,3,3,3,3,3,3,3,3,3,2,2,4,6,6,6,6,7,5,7,7,88,6,10,10,6,9,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,2,2,3,2,2,2,2,2,1,1,1,2,3,8,1,2
1959,77,66,2,4,2,2,2,2,2,2,0,3,4,5,5,6,7,8,6,6,6,4,7,8,5,6,9,6,4,4,2,2,2,2,4,2,3,1,2,2,2,3,2,1,1,1,2,2,3,1,1,2,3,2,2,2,1,2,3,2,2,2
1936,66,66,4,6,1,4,1,4,1,2,0,0,6,5,5,4,8,10,1,6,6,88,4,10,6,0,2,5,2,4,2,1,4,1,6,1,3,1,2,1,4,1,2,1,1,1,2,2,3,6,3,2,4,2,1,1,55,1,1,4,2,1
1962,3,3,2,4,1,1,2,1,1,2,3,4,6,6,6,6,8,7,5,6,4,4,7,9,8,8,17,5,2,3,1,1,1,2,4,1,2,2,2,2,2,4,2,1,1,1,2,2,3,1,1,2,2,2,1,1,1,2,3,3,4,3
7777,66,66,5,5,88,4,2,5,88,88,0,0,6,5,8,4,88,6,0,88,88,88,88,88,2,88,7777,88,2,6,77,2,4,88,6,2,88,3,3,1,88,4,8,1,1,8,2,1,3,6,2,7,3,3,1,7,55,3,8,3,8,2
2003,66,66,1,4,3,4,3,3,3,3,3,3,2,0,1,6,5,8,1,1,1,5,0,2,0,3,6,1,4,3,3,3,3,3,4,2,4,4,4,4,2,2,2,1,1,1,2,2,3,1,3,3,3,3,1,2,2,2,3,1,3,1
1990,2,66,1,4,1,1,2,2,1,1,2,4,5,6,6,6,6,7,1,3,1,5,7,10,8,8,8,2,2,3,1,1,2,3,4,1,3,2,1,2,3,4,2,1,1,1,2,2,3,1,1,2,3,2,1,1,1,3,4,4,4,2
1958,1,1,2,3,1,2,2,2,2,1,5,4,5,6,6,5,8,8,7,9,7,9,10,8,7,8,8,88,2,3,2,2,2,2,2,2,2,2,1,4,3,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,4,2,2,2
2000,3,66,1,4,1,1,2,1,2,1,2,2,6,6,6,8,8,8,4,5,5,3,7,10,10,8,9,4,3,4,1,1,1,3,4,2,2,1,1,4,2,4,2,1,1,1,2,1,3,6,1,2,3,1,1,1,1,3,4,4,4,2
1979,77,2,2,4,3,3,3,4,4,3,4,3,5,5,6,4,6,4,3,6,6,7,6,6,5,6,9,5,3,4,4,3,3,3,4,3,3,3,3,2,4,4,2,1,1,1,2,2,1,1,3,3,3,2,2,2,1,2,1,3,2,1
1944,66,66,4,3,2,3,4,5,4,4,3,3,3,3,3,7,2,4,1,2,2,88,5,5,3,6,2,4,4,77,77,88,88,3,3,88,88,4,1,1,1,3,2,1,1,1,2,2,3,1,2,3,3,2,1,3,1,3,4,3,2,2
1999,66,66,2,2,2,3,3,2,2,2,4,4,5,6,6,2,2,8,1,2,2,88,8,10,7,5,9,1,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,1,1,1,2,2,3,1,1,2,4,3,1,1,55,1,3,3,3,1
1945,66,66,88,88,2,88,1,4,3,3,0,0,6,6,8,7,6,6,0,0,88,88,88,8,6,88,4,0,3,4,3,3,3,3,5,1,1,1,1,1,5,88,2,1,1,1,2,2,3,6,3,2,3,8,1,3,88,2,3,2,1,1
1984,77,77,2,1,3,4,3,2,5,3,4,4,4,6,6,4,4,5,4,4,5,77,7,5,5,7,20,5,3,2,1,3,4,4,3,3,2,3,3,4,4,4,2,1,1,1,2,2,3,1,1,1,2,2,2,2,88,2,1,3,3,3
1971,3,66,1,5,1,5,1,4,1,1,2,5,6,6,6,2,7,8,3,6,7,88,6,10,10,5,9,6,1,4,1,1,4,1,4,3,4,1,1,1,4,3,2,1,1,1,2,2,1,1,3,2,3,2,1,1,55,2,1,3,1,1
