"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum"
1998,66,66,3,88,88,88,88,3,3,88,8,3,3,6,6,3,3,3,3,3,3,77,77,5,3,5,9,2,88,88,88,88,88,88,3,88,88,88,88,5,3,4
1981,3,3,2,3,2,2,1,2,1,2,0,3,4,6,6,4,8,8,3,8,8,6,5,8,5,7,17,6,2,3,1,2,2,2,4,2,2,1,1,1,2,4
1995,77,77,3,4,1,3,3,2,4,2,0,3,4,6,6,5,5,88,3,5,88,77,5,6,4,88,17,4,3,88,3,3,2,3,4,88,3,77,3,88,3,4
1961,77,66,4,5,2,4,1,2,2,3,2,1,4,6,5,6,7,7,6,6,7,4,8,9,7,4,17,7,3,5,1,3,3,1,5,2,3,3,1,2,1,3
1999,66,1,2,3,1,1,2,2,3,3,4,3,3,6,6,6,7,5,3,88,5,7,7,10,7,6,13,5,5,2,1,2,3,4,4,2,1,1,1,6,2,5
1947,2,2,5,6,2,3,2,4,1,1,0,0,5,6,6,4,3,3,5,5,5,0,6,9,8,8,6,88,2,4,3,2,2,2,4,2,2,1,1,2,5,5
1999,66,66,4,2,1,1,1,3,1,1,0,1,4,6,6,7,7,7,0,5,4,88,5,7,6,7,8,7,2,2,2,3,2,2,5,2,1,2,3,1,2,4
1937,66,66,4,3,4,3,1,4,2,3,0,0,2,5,4,1,6,7,1,3,5,5,2,8,3,66,4,2,4,5,3,3,3,2,6,2,2,3,3,1,5,55
1971,1,66,1,6,2,2,1,2,1,2,0,1,5,6,6,7,9,10,4,5,6,7,2,9,8,9,4,7,1,1,1,1,2,1,6,1,3,2,2,2,3,3
7777,77,66,6,5,1,5,2,88,3,88,0,0,8,8,8,2,0,88,0,0,0,77,2,5,2,4,7777,0,1,6,88,1,88,88,6,2,88,2,88,1,6,4
1939,2,66,4,4,1,3,1,3,3,4,2,3,6,4,5,6,5,7,3,4,3,4,4,8,4,5,2,6,2,3,3,1,3,2,5,1,3,2,1,1,4,3
1963,4,4,2,4,1,2,2,2,2,2,0,3,4,4,5,6,4,8,4,6,6,8,4,7,7,7,6,6,2,3,1,2,2,2,5,1,2,2,3,3,3,3
1997,3,66,2,6,1,4,3,3,2,2,3,4,4,6,6,2,7,7,3,6,6,4,1,7,6,5,14,5,2,5,1,2,2,2,4,2,2,1,1,2,4,4
1971,5,5,3,4,3,2,3,3,3,3,3,4,4,3,7,4,9,9,6,8,8,9,3,8,7,4,8,8,2,3,2,3,2,2,4,3,2,3,3,3,2,4
1995,77,66,3,4,2,2,2,2,2,2,2,1,5,5,5,7,7,7,3,7,8,77,8,9,7,6,17,7,2,4,2,2,2,2,5,2,2,2,2,2,4,3
1956,66,66,2,3,2,3,2,2,2,3,3,1,3,6,6,5,1,5,88,1,1,77,2,8,1,5,9,3,3,2,2,3,2,2,3,2,4,2,2,2,2,5
1990,3,66,4,5,4,4,2,2,2,2,1,3,3,5,8,5,5,5,5,5,4,4,5,6,5,5,4,0,3,4,4,3,4,88,4,2,2,2,2,1,2,3
1975,2,2,2,88,3,3,3,3,3,2,4,5,5,5,5,6,3,88,3,4,88,3,5,9,5,6,17,4,2,3,1,2,1,3,3,88,3,2,3,3,2,3
1939,66,66,4,6,3,5,2,4,3,2,0,0,3,8,3,4,5,6,4,3,2,5,2,8,5,1,2,5,3,4,3,3,4,3,6,3,4,2,3,1,5,2
1951,66,66,88,88,88,88,88,88,88,88,8,8,4,6,6,0,5,5,5,5,5,88,0,10,10,6,4,5,88,88,88,88,88,88,88,88,88,88,88,88,88,3
1978,77,66,4,3,2,5,1,2,2,2,3,4,4,6,8,4,6,7,5,4,88,77,88,88,88,8,7777,5,2,2,1,1,1,3,3,3,3,88,88,88,88,3
2003,3,66,2,3,1,1,2,2,2,2,3,3,6,6,5,3,5,7,5,5,7,1,8,8,7,9,9,5,2,2,1,1,1,2,3,3,3,2,1,1,2,4
1969,1,1,5,4,1,4,2,2,2,3,0,1,4,6,6,3,7,7,4,6,6,7,2,7,7,3,8,7,3,3,1,2,2,2,5,2,1,2,1,4,2,5
1973,6,6,2,3,2,3,2,4,5,3,3,3,6,6,3,5,8,8,3,3,5,3,3,8,5,3,10,3,2,3,2,4,4,3,5,4,2,3,2,3,2,4
1975,2,2,1,2,2,1,1,1,88,88,0,4,6,6,6,7,8,8,6,7,7,3,10,9,6,8,12,7,88,88,3,77,2,1,88,88,88,88,88,88,88,5
1960,6,66,2,6,2,2,2,5,1,2,2,2,5,6,5,7,3,5,2,3,4,5,6,10,10,9,9,4,2,4,2,3,3,3,4,2,3,3,3,4,3,5
1948,66,5,2,5,3,4,2,4,1,4,0,0,2,4,5,3,7,8,6,6,6,8,7,10,5,3,4,7,3,3,1,1,3,1,4,3,4,2,2,2,4,5
2001,5,66,2,2,2,2,2,3,4,1,4,4,6,6,6,0,8,8,6,7,7,5,10,8,8,7,9,7,2,3,1,2,2,2,3,3,1,2,3,1,4,3
1957,88,66,3,3,2,1,1,3,1,2,0,1,6,6,6,4,2,4,0,2,2,77,4,4,3,4,4,2,1,3,3,2,1,1,4,1,1,3,1,1,3,4
1992,66,66,1,4,1,2,1,1,4,2,4,2,6,6,6,0,0,0,0,5,6,77,3,0,10,9,12,0,2,5,1,1,1,1,3,1,1,1,1,1,4,5
1997,88,66,2,3,2,1,1,3,2,1,2,3,5,6,6,6,5,6,2,3,3,5,4,7,6,1,8,5,2,3,1,1,1,1,4,1,1,1,1,1,3,5
1977,5,5,3,4,3,3,3,3,3,3,2,2,4,6,6,6,6,7,6,6,5,7,4,10,7,3,9,8,3,4,3,3,3,3,4,3,3,3,3,3,4,2
1960,77,66,3,5,1,2,2,3,1,2,1,3,3,5,5,4,7,8,3,8,5,77,5,10,9,8,7,4,2,4,1,2,3,2,6,1,2,1,2,2,4,3
1981,66,66,2,3,2,2,1,3,1,1,0,2,4,4,4,6,3,3,1,5,5,5,6,7,6,5,2,2,1,4,3,2,2,1,4,1,1,1,1,1,4,4
8888,66,66,4,4,5,4,4,6,3,4,4,4,4,4,4,4,6,5,4,5,5,6,7,7,8,5,5,6,5,5,5,5,6,5,5,4,5,5,5,5,5,4
