"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum"
1949,77,66,4,5,2,3,1,3,2,2,0,2,6,6,3,7,8,9,4,6,7,77,7,10,5,8,2,6,3,4,2,2,3,1,5,2,1,1,2,1,3,4
1960,4,66,1,1,1,1,1,1,2,3,0,4,4,6,6,0,2,2,0,1,2,8,2,9,6,6,5,1,3,2,1,3,2,2,6,2,2,2,1,2,2,3
1972,5,5,3,3,2,3,1,4,2,3,1,4,4,6,6,3,7,8,5,6,6,7,6,10,6,4,9,5,3,3,2,3,2,1,5,3,5,2,3,6,4,3
1984,66,66,3,4,3,3,2,5,2,3,0,0,6,8,6,7,0,8,0,1,0,5,0,9,4,8,6,0,3,3,3,3,4,1,5,3,3,1,1,3,4,3
1974,6,6,3,3,2,3,3,3,4,3,3,1,3,6,3,4,4,6,3,0,2,5,5,6,3,4,8,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3
2005,66,66,2,5,2,3,1,1,3,3,3,3,6,3,3,5,6,7,6,7,7,6,7,5,5,7,4,6,1,3,2,1,1,1,3,2,2,1,1,1,2,3
1935,2,66,1,6,3,3,1,2,1,3,0,0,4,6,8,2,88,5,2,0,0,77,88,8,4,4,2,5,1,5,1,2,4,1,6,1,1,1,2,1,3,5
2006,66,66,3,4,1,4,1,3,3,1,3,3,5,5,6,7,8,7,6,7,8,3,8,9,6,7,4,88,1,2,2,1,2,1,3,2,2,1,1,2,3,4
1984,4,4,2,2,3,3,2,3,2,3,2,5,4,4,4,4,4,4,3,4,5,7,1,6,3,8,12,4,2,3,3,3,4,3,2,2,3,3,3,3,3,4
1997,66,66,3,3,2,2,2,3,2,1,1,1,6,5,5,4,5,6,3,5,6,5,2,10,5,8,13,3,1,3,2,1,2,2,4,1,1,1,1,1,3,4
1989,1,66,2,2,2,2,2,2,4,2,4,4,3,6,6,6,8,8,8,7,7,8,6,10,4,7,18,8,3,3,3,3,2,1,2,2,2,2,2,4,2,3
2001,77,66,2,3,2,2,2,3,3,3,1,5,5,3,5,5,5,5,3,3,3,5,5,8,5,8,12,5,3,2,2,2,2,2,5,3,3,3,3,2,2,4
1977,66,66,4,4,4,4,5,5,5,3,4,5,5,3,3,6,6,6,6,5,5,7,6,7,7,5,4,5,2,2,4,4,4,4,5,5,5,4,4,5,5,3
1947,66,66,4,4,4,4,4,4,4,4,2,3,3,3,3,3,6,5,5,3,4,6,5,6,6,6,5,6,5,3,4,4,4,4,3,3,4,4,5,4,4,4
1946,66,66,4,5,2,5,1,1,2,3,0,0,4,5,5,2,1,6,2,2,3,5,3,7,3,6,4,1,2,5,3,3,4,2,6,2,2,2,2,2,5,5
1960,66,66,4,6,1,4,1,4,2,2,0,0,4,6,6,4,8,10,0,6,0,77,5,8,8,7,9,4,2,4,3,2,3,2,4,2,3,2,1,2,4,5
1974,1,66,1,4,1,2,2,4,3,2,1,2,4,4,4,2,7,9,3,7,7,7,2,8,7,3,7,2,2,3,1,2,1,2,4,3,1,1,2,3,3,4
1973,77,66,4,3,1,1,1,3,4,4,0,3,5,6,6,5,8,8,5,7,8,77,7,10,7,7,12,8,4,3,2,3,2,1,4,3,2,2,2,3,3,3
1975,66,66,3,6,2,2,2,3,2,1,0,2,5,6,5,3,7,10,5,6,6,5,8,7,5,9,9,5,1,4,1,2,2,2,6,2,3,1,1,1,3,4
1968,66,66,88,88,88,88,88,88,88,88,0,1,2,8,8,5,3,4,2,2,2,88,4,7,7,4,4,3,88,88,88,88,88,88,88,88,88,88,2,88,3,3
1992,66,66,2,3,3,4,2,2,2,2,1,1,4,8,8,5,5,6,3,5,6,88,7,6,5,4,4,4,2,4,2,2,2,2,4,4,2,2,2,2,2,88
1986,77,66,4,5,4,3,2,3,3,3,5,1,2,6,6,3,5,6,6,88,6,3,4,7,1,5,10,8,3,3,1,2,3,1,4,3,3,2,2,4,3,3
1996,1,66,3,4,4,4,3,3,4,3,5,5,4,2,2,4,7,7,3,1,6,7,4,10,6,8,4,3,3,4,3,3,3,4,4,3,3,3,3,3,3,4
1967,1,1,3,5,2,3,1,3,3,3,3,3,2,4,4,4,5,4,4,5,5,8,2,10,7,4,4,2,3,4,2,3,3,3,6,3,1,2,2,2,3,3
1973,1,66,2,3,2,3,3,3,4,2,4,4,4,5,5,2,5,5,1,5,5,8,8,7,4,8,9,2,3,3,1,2,2,2,3,2,2,2,2,3,3,4
1990,88,66,2,3,1,1,1,2,2,1,2,3,6,6,6,4,2,3,0,1,2,4,4,8,6,2,6,1,1,3,2,1,2,1,3,2,1,1,1,1,2,4
1996,4,4,5,77,1,3,1,3,4,4,0,6,4,6,6,7,8,7,5,7,5,9,3,10,7,5,4,7,5,2,2,3,2,1,5,3,4,2,3,6,4,4
1947,66,66,4,4,2,5,1,4,2,2,0,1,5,2,2,8,7,8,5,88,88,88,88,9,5,5,4,7,2,5,3,5,5,1,1,1,1,1,3,2,5,3
1968,66,66,4,2,3,3,2,3,2,2,2,2,2,4,3,4,5,6,3,5,5,77,4,5,4,4,8,3,2,2,2,3,2,2,5,3,3,2,2,2,3,3
1975,2,2,3,3,1,3,1,3,3,3,4,4,4,6,6,4,6,7,5,5,7,3,9,10,6,5,11,4,3,4,1,3,3,1,4,3,1,2,2,2,3,3
1938,1,1,4,5,2,4,1,4,2,3,1,0,4,4,4,3,6,10,4,7,5,7,3,10,6,5,2,3,2,5,3,3,3,1,4,3,3,2,3,2,5,4
1949,2,66,3,5,3,4,1,5,3,3,2,2,4,5,5,7,8,9,6,6,88,4,7,9,3,6,4,8,3,5,4,3,3,1,6,2,4,3,3,3,5,3
1972,66,66,2,3,2,3,3,3,4,3,4,4,5,3,3,1,3,6,3,2,2,88,5,5,0,3,4,0,3,2,1,3,2,2,1,2,2,1,2,2,3,4
1952,66,66,4,4,2,4,2,4,2,2,2,2,4,8,8,2,4,4,2,2,2,4,4,6,6,6,4,2,2,4,2,2,2,2,4,2,2,2,2,2,4,4
1983,1,66,1,3,2,1,1,1,3,3,4,4,4,6,6,4,8,8,5,7,9,7,3,9,7,7,9,6,3,3,3,3,2,1,3,2,1,1,1,1,2,4
1979,2,2,3,4,1,2,2,3,2,2,3,3,6,6,4,7,2,5,2,4,4,3,6,8,7,3,8,2,1,3,2,1,2,1,4,2,1,2,2,2,2,3
2004,77,66,2,4,1,4,2,2,2,2,2,3,5,6,6,3,5,6,1,88,88,5,5,6,5,5,5,2,2,3,1,1,2,1,4,1,4,1,2,3,2,3
1953,4,66,4,3,2,3,1,3,2,1,2,2,4,5,4,3,5,7,1,88,88,5,1,7,5,4,4,4,2,3,1,2,1,1,3,2,3,2,1,2,3,4
1979,66,66,3,3,4,3,3,2,3,4,3,3,3,3,3,4,3,3,3,3,2,3,4,4,5,3,6,3,4,4,3,3,3,4,4,5,4,4,3,3,3,2
1970,66,66,2,4,2,2,2,4,2,2,2,4,4,8,8,4,88,88,88,88,88,88,4,88,88,6,4,88,2,4,5,2,2,2,4,2,2,2,2,2,2,4
1975,66,66,4,4,2,3,2,3,2,2,2,2,4,5,4,5,88,88,88,88,88,5,7,6,6,4,6,88,2,5,2,2,2,2,4,3,3,3,2,2,4,2
1941,77,66,3,5,2,4,2,4,3,3,0,1,4,6,6,4,1,5,1,0,5,77,1,7,1,5,17,1,3,4,2,3,3,2,4,2,4,3,1,2,3,4
1960,2,2,3,4,3,3,2,3,2,2,3,3,4,6,6,4,5,8,5,4,4,3,8,10,7,7,9,4,2,4,2,2,3,2,3,2,2,2,3,3,4,4
1942,4,66,2,5,1,4,1,3,2,1,0,0,6,6,6,3,88,7,1,88,88,6,4,7,5,5,3,2,1,5,3,1,4,1,6,1,4,1,1,2,4,5
1972,77,66,4,4,3,2,2,5,3,2,0,1,4,6,6,5,4,6,4,4,4,5,5,5,4,7,8,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3
1947,66,66,3,5,3,3,1,5,1,3,3,0,4,6,6,8,0,10,0,5,6,77,0,10,10,8,2,7,3,3,1,3,4,2,4,3,2,1,3,2,3,3
1997,66,66,4,4,4,4,5,6,4,4,4,4,4,3,3,5,6,6,6,7,7,5,6,6,6,6,5,6,4,4,4,5,6,4,4,4,4,4,4,4,3,3
1998,7,66,2,3,1,3,2,3,1,2,2,2,5,6,5,7,5,8,4,6,6,4,8,9,7,7,9,5,1,2,2,2,2,2,4,2,1,2,1,3,3,4
1937,66,66,5,5,3,5,1,4,2,4,0,0,3,5,5,4,1,7,0,0,0,5,0,10,5,66,2,0,3,5,3,3,4,2,5,2,2,2,3,3,5,55
1965,2,66,2,4,3,5,2,2,2,1,4,1,0,5,5,1,7,9,6,6,6,6,6,10,10,7,6,6,2,3,1,2,2,1,3,2,2,2,1,2,4,2
1954,1,1,1,2,1,2,1,1,3,2,0,0,5,4,3,5,3,8,9,6,7,9,7,6,5,2,4,4,2,2,2,3,2,1,3,2,2,2,2,2,1,3
2004,66,66,1,2,2,2,1,1,3,1,2,3,5,6,6,6,7,8,6,9,9,5,6,8,8,5,4,6,1,1,1,1,1,1,4,3,3,2,2,3,2,3
2005,3,3,2,4,1,3,1,1,3,1,6,5,4,5,6,7,7,6,4,7,8,3,10,8,5,5,9,6,1,2,2,1,1,2,1,1,1,1,2,3,1,4
1942,77,66,88,4,2,4,1,4,88,88,0,0,5,8,4,7,6,6,2,7,7,77,6,6,6,3,2,6,2,4,3,2,2,2,6,2,2,2,2,2,5,4
1991,66,66,2,4,1,3,2,4,4,3,2,4,4,6,6,4,5,2,0,5,5,5,4,10,8,3,10,3,2,4,2,3,2,2,5,3,3,3,3,3,4,3
1989,66,66,3,4,3,3,2,2,3,4,1,2,4,6,6,6,6,9,8,7,5,7,8,6,1,4,6,6,3,2,3,3,2,4,2,3,3,2,3,3,3,3
1953,2,2,2,5,1,3,3,3,2,1,4,1,6,6,6,3,5,7,3,4,4,3,8,10,10,9,4,5,1,4,1,2,2,1,5,1,1,1,1,1,1,3
1966,5,66,4,2,2,2,2,3,3,3,2,1,4,4,3,7,6,7,4,7,7,6,2,6,6,4,5,5,3,3,3,2,3,3,5,2,2,2,2,2,4,4
1974,3,3,1,2,1,1,2,3,1,2,2,4,4,6,4,3,6,7,4,6,7,4,0,9,7,5,8,5,3,2,1,2,1,1,3,3,1,2,3,2,3,4
2000,66,66,3,3,3,3,3,3,3,3,1,3,5,6,5,2,7,8,2,4,5,10,8,5,3,6,8,3,1,3,3,3,3,1,4,2,1,2,2,2,2,2
1977,1,66,1,1,3,1,2,1,2,2,0,4,4,6,6,1,2,2,2,3,3,9,2,9,6,6,21,2,3,1,1,1,1,1,6,2,2,3,2,2,1,4
2000,66,66,1,3,1,3,3,1,5,1,5,5,5,3,3,2,1,5,0,3,0,5,10,10,10,2,8,1,1,2,1,2,2,2,2,5,3,1,1,4,2,4
1951,2,66,1,6,2,5,2,5,2,2,0,0,6,6,3,6,6,10,0,0,0,0,5,10,6,6,6,0,1,5,1,2,5,2,6,5,5,2,2,5,5,3
1983,2,2,2,3,1,2,1,2,2,1,2,3,4,6,3,7,5,8,2,5,88,3,7,7,6,7,8,4,2,3,2,2,2,1,3,2,1,1,1,2,3,4
1981,66,66,4,4,5,5,5,5,5,5,4,3,3,3,4,3,5,6,5,6,5,6,3,7,5,4,3,3,5,5,6,6,6,6,6,6,3,3,5,5,3,4
1994,2,66,4,4,2,4,3,3,4,3,2,1,5,6,6,6,5,7,1,6,7,4,6,7,6,9,6,3,2,4,3,2,4,2,4,4,5,2,1,3,3,4
1999,2,2,3,3,3,2,3,3,88,3,4,4,4,4,8,3,0,2,0,0,5,0,3,5,2,3,9,0,3,3,3,3,3,3,4,3,2,3,3,3,3,3
1970,66,66,4,4,3,4,1,4,3,3,0,1,5,4,4,3,4,5,3,5,6,5,3,5,2,6,6,5,3,4,4,3,4,2,5,4,5,3,3,3,4,3
1937,66,66,4,2,1,5,1,4,2,3,0,0,3,5,8,3,5,10,5,4,3,77,2,8,6,0,2,6,3,2,3,1,4,2,4,5,6,1,4,4,3,88
1970,66,66,1,3,2,4,3,3,2,3,0,0,4,2,6,4,5,6,0,5,7,4,88,6,5,7,6,3,2,4,2,3,4,4,5,4,1,1,2,4,4,4
1961,3,66,4,4,4,3,3,5,5,2,0,3,3,2,3,3,4,4,3,4,5,6,4,5,4,4,8,3,2,4,5,5,3,3,3,2,1,5,2,6,1,2
1963,2,2,2,3,2,2,2,2,5,2,2,2,5,6,6,6,6,6,5,7,5,3,10,9,9,8,8,5,2,3,2,2,5,2,5,2,2,2,2,2,4,3
1954,66,66,5,4,2,5,1,4,2,2,0,0,4,4,6,6,7,10,1,7,7,77,0,8,88,0,2,7,3,4,1,3,5,3,5,4,4,2,3,3,3,4
2003,66,66,2,5,2,1,2,2,2,2,4,4,5,5,5,8,9,9,8,9,8,5,8,8,8,10,9,8,2,3,3,2,2,2,3,3,3,2,1,3,1,5
2002,66,66,3,3,3,4,4,5,5,5,1,2,2,8,8,4,2,3,2,3,3,88,6,5,4,3,4,5,88,88,88,5,4,4,88,88,6,6,6,88,88,2
1941,66,66,3,6,2,5,1,3,3,2,0,0,0,3,4,8,7,10,6,6,3,8,0,10,88,0,1,6,3,5,4,3,88,1,6,5,3,2,3,3,4,88
2007,66,66,3,6,2,3,2,4,3,3,3,4,3,3,6,7,7,4,2,6,7,5,7,7,7,5,4,5,3,3,3,2,1,2,2,1,2,2,1,6,3,5
1966,66,66,2,2,2,1,1,1,2,3,1,2,5,6,8,3,7,8,5,8,8,88,3,10,7,8,8,6,2,88,2,2,2,2,4,2,2,1,2,1,88,3
7777,66,66,4,5,5,5,5,4,4,5,4,4,4,5,5,5,6,6,5,6,7,6,5,6,6,5,5,5,4,5,5,5,4,3,3,4,4,4,5,5,4,4
1978,3,3,2,4,1,3,2,2,1,2,5,4,4,6,5,7,6,7,4,7,7,4,6,8,8,7,9,6,1,3,1,2,1,2,3,2,1,2,1,3,3,4
1962,77,66,4,4,3,5,1,4,2,3,0,0,3,6,4,2,6,6,3,5,6,5,2,8,4,5,4,2,3,5,3,3,4,2,6,3,3,3,1,1,4,3
1992,66,66,4,6,2,5,2,3,2,3,2,3,3,5,5,4,5,6,3,4,4,88,0,8,5,7,9,4,1,6,1,3,5,2,6,3,6,3,2,3,3,2
1940,66,66,3,3,2,2,1,3,3,4,1,0,5,4,4,1,8,7,8,6,6,7,4,7,6,7,2,9,3,4,4,3,3,3,3,4,2,2,2,1,4,2
1997,77,66,2,2,2,2,2,2,2,2,6,6,5,7,7,0,0,0,2,2,88,77,77,77,77,7,7777,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4
1970,66,66,88,88,88,88,88,88,88,88,2,2,4,8,8,4,88,88,88,88,88,88,88,88,88,8,17,88,88,88,88,88,88,88,88,88,88,88,88,88,88,4
1969,77,66,2,4,2,2,2,2,2,2,0,0,4,4,4,5,0,0,0,0,0,77,5,3,2,6,4,0,2,5,3,2,2,2,5,2,2,2,2,5,4,5
1942,5,66,3,2,5,4,3,4,2,4,4,3,4,6,6,6,7,7,6,6,6,3,5,9,9,7,4,6,3,3,2,4,3,5,3,3,3,3,4,4,3,3
1934,66,66,2,4,88,88,2,4,2,2,2,8,4,8,8,2,88,88,88,88,88,88,88,88,88,88,2,88,2,4,2,2,88,88,4,2,2,2,88,2,2,88
1962,88,66,4,6,1,5,1,6,88,2,0,0,4,6,8,4,6,6,4,6,2,6,7,5,4,9,11,4,2,6,1,2,6,88,6,6,6,1,1,2,4,3
1974,66,66,5,5,3,5,5,2,1,2,0,4,4,6,6,0,0,3,0,0,0,77,4,7,3,7,6,1,2,6,3,5,4,1,4,3,5,2,2,1,3,4
1950,66,66,3,5,2,3,3,3,3,3,0,1,3,3,4,3,1,0,0,0,0,5,2,4,1,66,8,1,3,3,3,3,3,3,3,3,3,3,3,3,3,55
1974,66,66,1,2,1,1,1,3,3,3,2,3,4,6,3,3,5,7,3,4,8,77,0,7,4,6,9,0,4,2,1,4,2,2,3,4,2,3,2,4,2,4
1974,77,66,3,4,2,3,2,4,1,2,2,2,5,6,6,7,8,8,3,8,5,4,6,10,10,7,17,6,2,4,3,1,3,1,4,1,3,2,2,2,3,5
1991,66,66,2,6,1,1,1,2,4,2,0,3,5,6,6,7,6,7,4,3,4,5,5,10,7,10,9,7,1,1,1,2,2,2,4,4,5,3,1,4,1,4
1968,66,66,2,3,1,2,1,3,2,2,2,1,4,6,6,4,7,5,0,6,6,5,10,6,8,10,9,3,2,4,1,2,3,1,5,1,5,3,1,3,3,4
1956,8,8,4,4,1,3,3,3,3,3,2,2,4,5,5,8,8,8,5,8,8,4,6,10,9,0,9,4,4,3,1,3,2,3,4,3,3,1,1,2,3,4
1998,2,2,2,3,2,1,4,3,4,3,3,4,4,6,3,6,7,7,3,6,7,3,4,9,8,4,9,5,4,2,1,2,2,3,2,3,3,2,1,3,2,4
1956,2,2,2,5,1,3,3,2,4,2,3,4,5,6,6,7,8,8,5,7,8,3,10,7,8,10,12,5,3,5,1,1,1,5,5,2,3,1,1,2,2,4
1958,5,66,4,6,3,5,1,3,4,2,2,2,3,4,4,8,9,9,7,7,10,7,4,10,5,8,4,9,1,4,2,3,3,1,5,3,4,1,2,2,2,3
1970,66,66,1,3,1,2,2,2,2,3,0,5,6,5,5,2,6,7,0,0,0,8,2,7,0,7,9,1,2,2,2,2,2,2,6,1,2,2,2,2,2,4
1975,66,66,4,4,1,2,2,4,4,3,0,0,4,5,3,2,5,6,3,1,6,5,5,7,7,5,1,3,3,4,3,3,4,1,5,3,1,1,3,3,4,3
1955,66,3,2,4,2,3,1,3,1,1,0,0,6,6,6,4,4,8,2,5,6,3,8,8,8,6,4,6,2,4,3,3,3,1,6,1,3,1,1,6,5,3
1961,4,66,3,3,2,2,2,2,2,2,1,3,4,5,5,3,8,8,3,5,5,8,7,8,6,6,4,5,2,4,2,2,3,2,4,2,2,2,2,2,4,3
1943,66,4,4,4,4,5,5,5,5,5,3,5,4,3,3,4,5,5,6,7,7,6,4,5,5,2,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,2
1962,66,66,2,3,3,3,3,3,3,3,2,2,2,6,6,6,5,6,5,5,4,5,7,7,6,7,6,6,2,2,2,2,2,1,6,4,4,3,2,2,3,4
1971,5,5,1,1,2,1,1,1,1,1,4,4,4,3,3,4,8,9,7,7,7,7,6,10,7,6,9,7,3,2,2,2,2,2,3,2,2,2,2,2,1,3
1934,77,66,3,4,1,3,1,2,2,1,0,2,5,6,4,0,5,7,2,4,3,7,3,7,5,3,2,5,6,5,2,2,2,1,6,2,5,2,2,1,3,3
1971,2,2,1,2,1,1,1,2,3,1,2,3,6,5,5,8,7,8,5,4,6,3,8,9,9,5,9,5,3,1,1,1,2,1,4,5,4,1,2,3,3,3
1960,66,66,2,2,1,2,1,3,3,2,0,3,6,6,6,3,2,7,0,2,2,8,2,9,8,7,2,2,2,4,2,2,2,3,3,2,2,2,2,2,3,3
1969,3,66,2,4,2,4,1,1,3,3,3,0,6,6,3,5,2,5,3,5,5,5,6,7,6,5,9,1,2,4,3,4,1,1,5,2,1,1,1,1,4,4
1977,66,66,1,88,2,2,2,2,1,2,4,2,4,6,5,3,0,1,0,0,0,77,5,7,5,6,12,0,3,3,1,2,2,2,3,2,3,2,1,3,3,4
1990,2,66,3,5,3,3,3,2,2,4,3,2,4,6,6,7,5,8,2,1,1,4,4,2,2,3,9,4,2,4,2,1,2,2,5,3,2,1,2,2,2,3
1969,4,66,2,5,1,3,2,2,2,2,1,2,5,6,6,7,6,8,5,4,5,6,4,8,5,7,9,5,1,3,2,1,2,2,5,2,1,1,2,1,3,3
1979,66,66,3,3,3,3,2,1,3,2,4,3,4,6,4,2,8,7,3,5,4,5,7,7,7,8,4,7,2,3,2,2,2,2,4,2,2,3,2,3,2,3
1977,3,3,3,4,2,2,1,3,4,2,0,3,5,6,3,4,7,8,4,6,7,5,4,9,7,8,9,4,2,4,3,2,2,2,5,2,2,2,1,3,4,5
1966,66,66,1,5,2,1,2,1,2,2,1,3,6,6,6,1,9,9,4,7,7,5,5,9,7,8,9,9,1,1,1,2,1,1,6,3,2,2,1,1,1,3
1951,5,5,6,5,3,4,1,4,2,2,0,4,5,6,5,8,8,8,4,6,6,8,5,9,7,3,3,7,3,5,3,3,4,1,5,3,5,3,3,2,4,4
1958,77,66,3,5,2,2,2,3,3,2,0,3,4,6,5,5,7,8,0,6,6,77,3,10,8,8,2,7,2,4,3,2,2,1,6,2,2,2,2,3,4,5
1970,66,66,3,6,2,4,2,2,6,2,2,4,6,6,6,8,9,10,0,7,8,4,8,8,6,8,9,1,1,1,1,2,3,2,3,4,4,1,1,4,1,3
1964,66,88,2,4,1,3,2,88,2,2,0,5,5,4,4,2,7,8,6,8,7,88,5,7,7,6,4,6,1,88,3,2,88,3,4,88,1,2,2,3,2,3
1984,66,66,3,2,2,2,2,2,2,2,0,5,5,4,3,6,5,6,4,5,3,4,7,5,4,7,9,4,3,3,3,2,2,2,5,2,1,1,2,1,3,4
1972,3,66,2,4,1,3,3,2,4,1,4,4,5,4,3,4,5,5,0,6,5,5,8,8,7,7,9,0,1,3,3,2,3,4,3,3,4,3,1,4,3,4
2004,3,3,88,3,1,2,1,2,1,1,3,3,6,6,6,7,8,0,0,6,8,0,10,10,10,6,9,0,1,3,1,1,1,1,5,1,1,1,1,1,2,3
1984,1,1,2,3,1,2,1,1,2,3,4,4,3,6,6,5,8,8,4,5,9,7,5,10,5,5,17,5,2,2,1,3,1,1,3,1,1,2,3,3,1,3
1996,1,2,4,5,1,2,2,3,2,3,3,3,4,6,6,4,7,7,4,5,6,2,5,7,7,5,12,6,3,2,3,2,2,2,2,2,2,2,1,6,3,4
1949,8,66,1,6,1,2,1,1,1,1,3,2,4,5,5,6,9,6,2,2,5,5,8,8,9,7,9,6,1,3,1,1,1,1,5,2,1,1,2,4,1,4
1954,77,66,1,2,1,2,2,2,2,2,2,0,5,6,4,1,8,8,6,7,7,88,7,9,2,5,10,8,4,1,1,1,1,1,4,1,5,1,1,1,2,3
1953,1,66,1,6,1,2,1,2,1,1,0,0,6,6,6,2,7,9,6,5,4,6,5,8,1,9,2,6,1,3,1,2,1,1,4,1,1,1,1,1,3,4
1965,4,4,4,4,3,3,3,3,2,3,3,3,3,4,4,4,3,8,3,3,5,7,4,8,5,5,5,5,2,5,3,3,3,3,4,3,3,3,2,2,4,3
1984,7,7,3,3,1,3,4,3,2,3,3,3,5,6,6,7,6,6,5,7,7,1,5,10,8,0,6,5,3,3,1,3,3,4,3,3,2,2,1,4,4,4
1952,66,66,5,6,5,5,6,5,5,6,2,2,5,3,3,3,6,9,3,3,3,4,3,9,7,4,2,6,6,5,6,6,5,6,6,3,2,3,3,4,3,3
1942,66,66,5,5,1,4,1,5,1,1,0,0,6,6,6,5,0,9,0,0,0,88,5,10,6,66,1,0,1,4,2,1,4,1,5,3,2,1,1,1,1,55
1957,66,66,5,5,2,6,3,3,5,4,0,0,3,4,4,5,3,9,4,5,6,77,6,8,7,6,9,6,5,1,3,3,4,3,4,5,6,2,4,3,2,88
1973,88,66,2,5,2,4,1,2,3,3,2,4,3,4,8,8,5,7,4,3,6,5,6,7,5,3,9,3,2,1,1,2,3,2,3,2,1,1,3,3,1,3
1975,1,1,3,4,3,3,3,2,2,2,2,2,3,5,5,4,3,7,5,4,6,6,3,0,5,4,17,7,3,4,3,3,3,2,4,3,2,2,3,2,4,2
1985,66,66,3,4,3,3,3,4,2,2,2,2,4,5,5,3,2,7,1,2,4,5,5,10,4,5,4,1,2,5,2,2,2,2,5,5,5,2,3,3,3,3
1965,66,66,3,4,1,4,1,4,1,2,0,0,5,6,8,8,0,6,0,88,88,88,5,4,3,6,4,0,1,4,3,2,2,1,5,2,1,2,2,1,4,4
1979,66,66,4,2,3,2,4,4,3,3,5,3,3,4,6,6,4,3,4,5,5,5,5,6,5,6,9,3,2,4,3,4,3,2,4,3,2,2,3,2,1,3
1941,77,66,3,6,1,1,1,3,1,2,0,0,6,6,6,4,5,9,5,5,4,5,7,10,5,7,2,5,1,3,1,1,1,1,4,1,2,1,1,1,3,4
1983,77,66,2,3,2,1,2,2,1,2,1,2,4,6,6,5,4,0,0,0,0,77,5,8,5,5,10,0,1,5,1,2,2,2,6,1,2,2,2,2,2,3
1994,66,66,88,88,88,88,88,88,88,88,1,3,3,8,4,3,4,4,4,5,4,2,8,7,7,66,9,4,88,88,1,2,6,6,88,88,88,88,88,88,88,55
1937,66,66,5,5,3,4,1,5,4,3,0,0,2,5,4,3,2,2,1,2,2,77,4,3,5,7,3,2,5,5,5,4,5,5,5,5,5,3,3,3,3,3
1949,77,77,88,88,1,88,1,88,1,88,0,8,6,8,8,10,88,10,88,88,88,77,88,10,10,88,2,88,1,88,1,1,88,1,6,1,1,1,1,1,1,4
2005,66,66,2,2,2,1,1,2,3,3,3,4,4,6,4,4,5,6,5,5,5,88,6,7,6,4,4,5,2,2,2,2,1,2,3,2,1,1,2,4,2,4
1960,4,4,4,4,2,4,1,4,2,3,0,0,5,5,5,8,7,8,0,0,2,5,0,8,1,2,9,3,2,4,2,2,4,2,4,2,2,2,2,2,4,3
1961,66,66,1,2,2,2,1,1,2,2,5,4,3,5,6,2,4,4,4,4,3,7,8,8,7,3,8,4,4,2,2,2,2,2,2,2,1,3,1,2,3,3
1968,66,66,2,4,2,2,2,2,2,2,2,2,6,8,8,2,88,88,88,88,88,88,88,88,88,88,4,88,2,4,2,1,2,1,4,1,2,2,1,1,2,4
1952,5,31,3,4,2,2,2,2,1,3,0,4,6,6,5,6,0,4,3,6,4,7,2,10,8,10,8,4,2,4,3,2,2,1,3,3,3,2,1,3,4,4
1978,77,66,2,3,1,2,2,3,2,3,3,4,4,6,5,0,6,6,3,4,4,77,7,8,6,7,4,3,2,3,3,2,3,2,2,3,3,2,2,3,2,3
1970,66,1,3,3,3,4,2,3,5,3,0,0,2,2,5,8,4,7,2,8,7,3,3,7,4,7,8,3,4,3,3,3,2,2,5,2,4,2,2,3,2,5
1945,2,66,3,3,2,4,1,3,3,3,1,2,5,6,6,7,8,8,6,88,88,5,7,10,0,7,2,8,3,5,3,5,4,1,5,2,4,2,2,2,6,3
1976,66,66,1,1,1,1,1,1,3,3,5,6,3,4,4,0,4,6,0,3,5,77,2,9,7,8,8,4,6,1,1,1,1,1,1,1,1,2,3,4,2,5
1999,77,66,5,2,1,1,1,1,4,3,5,2,2,6,5,5,0,2,0,5,2,2,6,2,4,6,9,0,2,1,1,2,2,1,4,3,1,1,2,3,1,4
1977,5,5,2,3,3,2,4,3,3,2,3,4,5,5,3,6,7,8,5,6,7,6,4,9,7,3,8,6,3,3,4,2,2,1,4,2,2,2,3,2,2,4
1976,1,66,1,5,2,4,4,2,3,2,5,4,5,5,6,6,6,7,6,7,6,5,7,7,7,5,17,6,2,5,2,2,2,3,5,2,1,1,1,2,5,3
1971,1,66,2,3,2,2,1,2,2,2,1,3,6,6,5,6,6,6,1,2,3,5,3,6,5,3,4,2,2,3,2,2,2,1,4,2,2,2,1,1,4,4
1976,77,66,3,3,3,77,1,88,3,88,4,3,4,6,6,4,2,6,2,4,3,88,2,3,4,88,9,2,3,5,88,5,3,4,4,5,6,6,4,3,4,2
2004,66,66,2,4,1,2,1,4,2,2,2,1,3,6,6,2,4,5,0,2,3,6,3,9,4,6,8,3,1,4,1,1,2,1,3,2,4,3,2,3,3,4
